date,balance,margin_balance,margin_net
2026-02-09,1302525108800.0,13025.251088,
2026-02-10,1300309740689.0,13003.09740689,-22.15368111
2026-02-11,1293232985925.0,12932.32985925,-70.76754764
2026-02-12,1290149117492.0,12901.49117492,-30.83868433
2026-02-13,1263345050286.0,12633.45050286,-268.04067206
2026-02-24,1280863472709.0,12808.63472709,175.18422423
2026-02-25,1290551592243.0,12905.51592243,96.88119534
2026-02-26,1301439968030.0,13014.3996803,108.88375787
2026-02-27,1302382657238.0,13023.82657238,9.42689208
2026-03-02,1304146172548.0,13041.46172548,17.6351531
2026-03-03,1291491253262.0,12914.91253262,-126.54919286
2026-03-04,1285510208754.0,12855.10208754,-59.81044508
2026-03-05,1291035649351.0,12910.35649351,55.25440597
2026-03-06,1288081848961.0,12880.81848961,-29.5380039
2026-03-09,1285772083950.0,12857.7208395,-23.09765011
2026-03-10,1292065126847.0,12920.65126847,62.93042897
2026-03-11,1298219570532.0,12982.19570532,61.54443685
2026-03-12,1298016790961.0,12980.16790961,-2.02779571
2026-03-13,1289667849330.0,12896.6784933,-83.48941631
2026-03-16,1294306591458.0,12943.06591458,46.38742128
2026-03-17,1289194165266.0,12891.94165266,-51.12426192
2026-03-18,1290274654540.0,12902.7465454,10.80489274
2026-03-19,1287026111343.0,12870.26111343,-32.48543197
2026-03-20,1277849761279.0,12778.49761279,-91.76350064
2026-03-23,1271376716864.0,12713.76716864,-64.73044415
2026-03-24,1266400184013.0,12664.00184013,-49.76532851
2026-03-25,1269710067619.0,12697.10067619,33.09883606
2026-03-26,1269235807593.0,12692.35807593,-4.74260026
2026-03-27,1266999766737.0,12669.99766737,-22.36040856
2026-03-30,1271026912023.0,12710.26912023,40.27145286
2026-03-31,1265723771944.0,12657.23771944,-53.03140079
2026-04-01,1266597500700.0,12665.975007,8.73728756
2026-04-02,1260951353577.0,12609.51353577,-56.46147123
2026-04-03,1251884568609.0,12518.84568609,-90.66784968
2026-04-07,1255084794645.0,12550.84794645,32.00226036
2026-04-08,1264606437039.0,12646.06437039,95.21642394
2026-04-09,1269079105889.0,12690.79105889,44.7266885
2026-04-10,1271743602304.0,12717.43602304,26.64496415
2026-04-13,1279863408949.0,12798.63408949,81.19806645
2026-04-14,1288515797056.0,12885.15797056,86.52388107
2026-04-15,1293969707634.0,12939.69707634,54.53910578
2026-04-16,1299872387926.0,12998.72387926,59.02680292
2026-04-17,1301422203696.0,13014.22203696,15.4981577
2026-04-20,1316274369682.0,13162.74369682,148.52165986
2026-04-21,1319400216926.0,13194.00216926,31.25847244
2026-04-22,1325394570504.0,13253.94570504,59.94353578
2026-04-23,1328156272129.0,13281.56272129,27.61701625
2026-04-24,1319990466672.0,13199.90466672,-81.65805457
2026-04-27,1326205744465.0,13262.05744465,62.15277793
2026-04-28,1326788399917.0,13267.88399917,5.82655452
2026-04-29,1325438246058.0,13254.38246058,-13.50153859
2026-04-30,1316221635957.0,13162.21635957,-92.16610101
2026-05-06,1334705384236.0,13347.05384236,184.83748279
2026-05-07,1348533166455.0,13485.33166455,138.27782219
2026-05-08,1356840645986.0,13568.40645986,83.07479531
2026-05-11,1371529559806.0,13715.29559806,146.8891382
2026-05-12,1380204458724.0,13802.04458724,86.74898918
2026-05-13,1391532028880.0,13915.3202888,113.27570156
2026-05-14,1396811494791.0,13968.11494791,52.79465911
2026-05-15,1394949499996.0,13949.49499996,-18.61994795
2026-05-18,1400561008899.0,14005.61008899,56.11508903
2026-05-19,1402777074258.0,14027.77074258,22.16065359
2026-05-20,1404331209051.0,14043.31209051,15.54134793
2026-05-21,1398753868402.0,13987.53868402,-55.77340649
2026-05-22,1400471377288.0,14004.71377288,17.17508886
2026-05-25,1413683122606.0,14136.83122606,132.11745318
2026-05-26,1417203136742.0,14172.03136742,35.20014136
2026-05-27,1419947283387.0,14199.47283387,27.44146645
2026-05-28,1422017843640.0,14220.1784364,20.70560253
2026-05-29,1409907237344.0,14099.07237344,-121.10606296
2026-06-01,1406303187855.0,14063.03187855,-36.04049489
2026-06-02,1406806427824.0,14068.06427824,5.03239969
2026-06-03,1410081618665.0,14100.81618665,32.75190841
2026-06-04,1414148813231.0,14141.48813231,40.67194566
2026-06-05,1411403036466.0,14114.03036466,-27.45776765
2026-06-08,1399789016399.0,13997.89016399,-116.14020067
2026-06-09,1404907719228.0,14049.07719228,51.18702829
2026-06-10,1401181758206.0,14011.81758206,-37.25961022
2026-06-11,1395569733635.0,13955.69733635,-56.12024571
2026-06-12,1394518150156.0,13945.18150156,-10.51583479
2026-06-15,1405707071728.0,14057.07071728,111.88921572
2026-06-16,1420150378638.0,14201.50378638,144.4330691
2026-06-17,1433639152915.0,14336.39152915,134.88774277
2026-06-18,1439473632238.0,14394.73632238,58.34479323
2026-06-22,1458119053806.0,14581.19053806,186.45421568
2026-06-23,1465243410288.0,14652.43410288,71.24356482
2026-06-24,1473185089045.0,14731.85089045,79.41678757
2026-06-25,1479828583218.0,14798.28583218,66.43494173
2026-06-26,1467281982412.0,14672.81982412,-125.46600806
2026-06-29,1466450632820.0,14664.5063282,-8.31349592
2026-06-30,1470879583030.0,14708.7958303,44.2895021
2026-07-01,1477894856591.0,14778.94856591,70.15273561
2026-07-02,1476173966736.0,14761.73966736,-17.20889855
2026-07-03,1469707101933.0,14697.07101933,-64.66864803
2026-07-06,1466858773239.0,14668.58773239,-28.48328694
2026-07-07,1459710376963.0,14597.10376963,-71.48396276
2026-07-08,1448577145252.0,14485.77145252,-111.33231711
2026-07-09,1445861458951.0,14458.61458951,-27.15686301
2026-07-10,1442497952431.0,14424.97952431,-33.6350652
2026-07-13,1422719443349.0,14227.19443349,-197.78509082
2026-07-14,1417264751118.0,14172.64751118,-54.54692231
2026-07-15,1412829773105.0,14128.29773105,-44.34978013
2026-07-16,1398204186432.0,13982.04186432,-146.25586673
2026-07-17,1356312219325.0,13563.12219325,-418.91967107
2026-07-20,1326713219503.0,13267.13219503,-295.98999822
2026-07-21,1325924685239.0,13259.24685239,-7.88534264
2026-07-22,1327037003842.0,13270.37003842,11.12318603
2026-07-23,1321804252718.0,13218.04252718,-52.32751124
2026-07-24,1307607084847.0,13076.07084847,-141.97167871
2026-07-27,1303962925138.0,13039.62925138,-36.44159709
2026-07-28,1289506723111.0,12895.06723111,-144.56202027
2026-07-29,1276274133767.0,12762.74133767,-132.32589344
2026-07-30,1254098880597.0,12540.98880597,-221.7525317
2026-07-31,1253570818615.0,12535.70818615,-5.28061982
2026-08-03,1248916275525.0,12489.16275525,-46.5454309
2026-08-04,1254738782997.0,12547.38782997,58.22507472
2026-08-05,1260871875492.0,12608.71875492,61.33092495
2026-08-06,1266993136806.0,12669.93136806,61.21261314
2026-08-07,1269644182916.0,12696.44182916,26.5104611
